Ref,Val,Package,PosX,PosY,Rot,Side
"BOOT1","BOOT_JP","SW_DIP_SPSTx02_Slide_6.7x6.64mm_W6.73mm_P2.54mm_LowProfile_JPin",75.100000,-68.300000,90.000000,top
"BUZZER1","Buzzer","Buzzer_12x9.5RM7.6",54.950000,-87.750000,0.000000,top
"C1","6pF","C_0603_1608Metric",83.225000,-82.250000,0.000000,top
"C2","6pF","C_0603_1608Metric",83.250000,-89.250000,180.000000,top
"C3","15pF","C_0603_1608Metric",86.975000,-77.250000,180.000000,top
"C4","15pF","C_0603_1608Metric",86.975000,-79.750000,180.000000,top
"C5","1uF","C_0603_1608Metric",100.625000,-93.600000,180.000000,top
"C6","10nF","C_0603_1608Metric",100.600000,-95.500000,180.000000,top
"C7","2.2uF","C_0603_1608Metric",100.600000,-91.700000,180.000000,top
"C8","0.1uF","C_0603_1608Metric",69.200000,-71.900000,90.000000,top
"C9","0.1uF","C_0603_1608Metric",80.000000,-71.425000,90.000000,top
"C10","0.1uF","C_0603_1608Metric",93.400000,-76.900000,0.000000,top
"C11","0.1uF","C_0603_1608Metric",88.000000,-87.375000,-90.000000,top
"C12","0.1uF","C_0603_1608Metric",93.325000,-74.700000,0.000000,top
"C14","0.1uF","C_0603_1608Metric",80.000000,-66.425000,90.000000,top
"C15","470uF","CP_Elec_10x10.5",152.000000,-90.750000,0.000000,top
"C16","0.1uF","C_0603_1608Metric",130.700000,-78.800000,180.000000,top
"C17","0.1uF","C_0603_1608Metric",127.300000,-64.200000,0.000000,top
"C18","470uF","CP_Elec_10x10.5",136.500000,-58.000000,0.000000,top
"C19","0.1uF","C_0603_1608Metric",128.175000,-85.000000,0.000000,top
"C20","470uF","CP_Elec_6.3x7.7",138.250000,-83.250000,0.000000,top
"C21","4.7uF","C_0805_2012Metric",114.500000,-83.500000,90.000000,top
"C22","4.7uF","C_0805_2012Metric",110.900000,-80.200000,0.000000,top
"C23","0.1uF","C_0603_1608Metric",110.900000,-77.500000,0.000000,top
"C24","4.7uF","C_0805_2012Metric",145.750000,-52.750000,90.000000,top
"COOLING1","60MM FAN JUMPER","PinHeader_2x03_P2.54mm_Vertical_SMD",75.100000,-101.000000,180.000000,top
"D4","SS14","D_SMA",124.500000,-79.750000,180.000000,top
"D5","SS14","D_SMA",125.250000,-100.000000,180.000000,top
"F60_1","60mm_FAN","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",66.000000,-116.750000,90.000000,top
"F60_2","60mm_FAN","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",76.000000,-116.750000,90.000000,top
"F140_1","140mm_FAN","Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical",85.020000,-116.560000,90.000000,top
"F140_2","140mm_FAN","Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical",94.870000,-116.560000,90.000000,top
"FILTERING1","140 MM FAN JUMPER","PinHeader_2x03_P2.54mm_Vertical_SMD",91.825000,-101.060000,180.000000,top
"F_REG1","Fan","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",112.250000,-114.750000,0.000000,top
"F_REG2","Fan","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",102.750000,-114.725000,0.000000,top
"F_REG3","REG FAN JUMPER","PinHeader_2x03_P2.54mm_Vertical_SMD",108.025000,-100.960000,180.000000,top
"L1","47uH","L_Chilisin_BMRx00060630",138.500000,-71.750000,90.000000,top
"L2","47uH","L_Chilisin_BMRx00060630",139.125000,-92.500000,90.000000,top
"LC1","LOAD CELL AMP","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",61.250000,-62.750000,180.000000,top
"LC2","LOAD CELL AMP","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",61.250000,-72.000000,180.000000,top
"Micro_SD_Card1","Micro_SD_Card_Det1","microSD_HC_Hirose_DM3AT-SF-PEJM5",107.750000,-50.750000,180.000000,top
"PMS1","~","JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal",68.500000,-44.250000,180.000000,top
"POWER_IN1","POWER","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",154.055000,-106.295000,90.000000,top
"POWER_IN2","POWER IN TERMINAL","BarrelJack_Horizontal",145.500000,-77.457500,180.000000,top
"POWER_OUT1","Power_Out","JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical",136.000000,-43.500000,0.000000,top
"Q1","BSS138","SOT-23",104.750000,-77.500000,90.000000,top
"Q2","MOSFET-FAN","SOT-23",117.437500,-108.475000,0.000000,top
"Q3","BSS138","SOT-23",102.400000,-108.100000,-90.000000,top
"Q4","SS8050","SOT-23",67.437500,-87.750000,180.000000,top
"Q5","SS8050","SOT-23",137.687500,-104.950000,0.000000,top
"Q6","SS8050","SOT-23",126.325000,-105.000000,0.000000,top
"R1","10k","R_0603_1608Metric",104.825000,-80.500000,0.000000,top
"R2","10k","R_0603_1608Metric",107.750000,-77.500000,90.000000,top
"R3","100R","R_0603_1608Metric",112.000000,-108.475000,90.000000,top
"R4","10k","R_0603_1608Metric",105.700000,-107.400000,90.000000,top
"R5","10k","R_0603_1608Metric",107.400000,-107.400000,-90.000000,top
"R6","10K","R_0603_1608Metric",87.050000,-58.775000,90.000000,top
"R7","10K","R_0603_1608Metric",85.300000,-58.775000,90.000000,top
"R8","220R","R_0603_1608Metric",69.300000,-90.800000,0.000000,top
"R9","220R","R_0603_1608Metric",135.937500,-101.700000,180.000000,top
"R10","220R","R_0603_1608Metric",122.075000,-104.000000,180.000000,top
"R11","10K","R_0603_1608Metric",67.100000,-71.900000,90.000000,top
"R12","10K","R_0603_1608Metric",69.100000,-64.900000,-90.000000,top
"R13","10K","R_0603_1608Metric",88.500000,-70.925000,90.000000,top
"R14","10K","R_0603_1608Metric",107.200000,-62.925000,90.000000,top
"R15","10K","R_0603_1608Metric",105.400000,-62.900000,90.000000,top
"R16","10K","R_0603_1608Metric",109.300000,-62.900000,90.000000,top
"R17","10K","R_0603_1608Metric",111.300000,-62.900000,90.000000,top
"R20","10K","R_0603_1608Metric",114.000000,-108.475000,90.000000,top
"RESET1","RESET_SW","SW_SPST_PTS647_Sx50",84.750000,-69.175000,90.000000,top
"SCREEN1","Screen","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",54.225000,-107.250000,90.000000,top
"SENSOR_OUT1","RJ45_NEW","RJ45_NEW",88.205000,-33.245000,180.000000,top
"SERVO1","Motor_Servo","PinHeader_1x03_P2.54mm_Vertical",127.250000,-42.420000,0.000000,top
"SSR1","5V SSR TERMINAL1","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",138.420000,-113.912500,0.000000,top
"SSR2","5V SSR TERMINAL2","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",125.920000,-113.857500,0.000000,top
"SWD1","SWD HEADER","PinHeader_1x04_P2.54mm_Vertical",119.329095,-42.433290,0.000000,top
"U5","STM32F411CEUx","QFN-48-1EP_7x7mm_P0.5mm_EP5.15x5.15mm",97.500000,-85.250000,0.000000,top
"U10","LM2596S-12","TO-263-5_TabPin3",122.875000,-71.750000,180.000000,top
"U11","LM2596S-5","TO-263-5_TabPin3",123.500000,-92.000000,180.000000,top
"U12","SSP7901P33MR","SOT-23-3",110.950000,-83.637500,-90.000000,top
"U17","L7809","TO-263-2",153.000000,-61.125000,-90.000000,top
"Y1","25MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",83.150000,-85.650000,0.000000,top
"Y2","32.768KHz","Crystal_C38-LF_D3.0mm_L8.0mm_Horizontal",83.750000,-77.800000,-90.000000,top
