Ref,Val,Package,PosX,PosY,Rot,Side
"C13","4.7uF","C_0805_2012Metric",18.690000,8.150000,0.000000,bottom
"R18","5k","R_0603_1608Metric",31.680000,15.480000,180.000000,bottom
"R19","10k","R_0603_1608Metric",31.690000,13.700000,0.000000,bottom
"R21","2.2k","R_0603_1608Metric",16.725000,19.240000,0.000000,bottom
"R22","4.3k","R_0603_1608Metric",20.520000,19.260000,0.000000,bottom
"R23","10K","R_0603_1608Metric",46.040000,13.300000,180.000000,bottom
"R24","10K","R_0603_1608Metric",46.060000,8.230000,180.000000,bottom
"U6","LM317_SOT-223","SOT-223-3_TabPin2",18.990000,14.337500,180.000000,bottom
"C22","4.7uF","C_0805_2012Metric",47.040000,32.650000,180.000000,top
"C23","4.7uF","C_0805_2012Metric",44.190000,29.475000,90.000000,top
"C25","0.1uF","C_0603_1608Metric",42.315000,29.300000,90.000000,top
"OPTICAL_SMOKE1","~","JST_SHL_SM05B-SHLS-TF_1x05-1MP_P1.00mm_Horizontal",21.220000,40.270000,0.000000,top
"SENSOR_IN1","SENSOR_OUT","RJ45_NEW",36.425000,42.425000,180.000000,top
"U12","SSP7901P33MR","SOT-23-3",47.652500,29.475000,0.000000,top
